TRIGGER DATABASE,21572,EOD,,,0
EXTERNAL TABLE,21573,EOD,,,0
FUNCTION TABLE-VALUED ASSEMBLY ,21574,EOD,,,0
INTERNAL TABLE,21577,EOD,,,0
MESSAGE TYPE,21581,EOD,,,0
ROUTE,21586,EOD,,,0
STATISTICS,21587,EOD,,,0
ASYMMETRIC KEY USER,21825,EOD,,,0
CERTIFICATE USER,21827,EOD,,,0
AUDIT,21828,EOD,,,0
GROUP USER,21831,EOD,,,0
EXTERNAL GROUP USER,21840,EOD,,,0
SQL USER,21843,EOD,,,0
WINDOWS USER,21847,EOD,,,0
EXTERNAL USER,21848,EOD,,,0
SERVICE,22099,EOD,,,0
EXTERNAL SCRIPT QUERY,22597,EOD,,,0
INDEX,22601,EOD,,,0
LOGIN,22604,EOD,,,0
XML SCHEMA COLLECTION,22611,EOD,,,0
TYPE,22868,EOD,,,0
SYSREMOTELOGINS TYPES,-1,F  ,,,0
"",0,F  ,,,0
trusted,1,F  ,,,0
SYSREMOTELOGINS TYPES (UPDATE),-1,F_U,,,0
"",0,F_U,,,0
trusted,16,F_U,,,0
GENERAL MISC. STRINGS,0,G  ,,,0
SQL Server Internal Table,0,G  ,,,0
INDEX TYPES,0,I  ,,,0
nonclustered,0,I  ,,,0
ignore duplicate keys,1,I  ,,,0
unique,2,I  ,,,0
ignore duplicate rows,4,I  ,,,0
clustered,16,I  ,,,0
hypothetical,32,I  ,,,0
statistics,64,I  ,,,0
primary key,2048,I  ,0,1,0
unique key,4096,I  ,0,1,0
auto create,8388608,I  ,,,0
stats no recompute,16777216,I  ,,,0
COMPATIBLE TYPES,0,J  ,,,0
binary,1,J  ,45,,0
varbinary,1,J  ,37,,0
bit,2,J  ,50,,0
char,3,J  ,47,,0
varchar,3,J  ,39,,0
datetime,4,J  ,61,,0
datetimn,4,J  ,111,,0
smalldatetime,4,J  ,58,,0
float,5,J  ,62,,0
floatn,5,J  ,109,,0
real,5,J  ,59,,0
int,6,J  ,56,,0
intn,6,J  ,38,,0
smallint,6,J  ,52,,0
tinyint,6,J  ,48,,0
